,"Wollaston Beach, Quincy: Bacterial Water Quality 2021",,,,,,,,,
,,,,,,,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,,,,,,,
,"Bacteria samples are collected at several locations along the beach, and  the test results are available 24 hours later.",,,,,,,,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,,,,,,,
,,,,,,,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,,,,,,,
,,,,,,,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,,,,,,,
,"      ▪  counts fail to meet 104 counts/100 mL limit at either Sachem and Channing, then these two locations are posted with an advisory;",,,,,,,,,
,"      ▪  OR counts fail to meet 104 counts/100 mL limit at Milton Street or Rice Road, then individual location is posted with an advisory;",,,,,,,,,
,"      ▪  OR if daily rainfall exceeds 0.5 inches for Milton or Rice Road, or 0.25 inches for Sachem or Channing locations;",,,,,,,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge.",,,,,,,,,
,All results are in counts/100 mL and testing is performed by DCR.,,,,,,,,,
,Spreadsheets are updated weekly if not sooner.,,,,,,,,,
,,,,,,,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,,,,,,,
,"Weekly sampling by DCR began May 27, 2021. ",,,,,,,,,
,,,,,,,,,,
,, Daily Rainfall (in.),,Milton Street,,Channing Street,,Sachem Street,,Rice Road
,,,,,,,,,,
,2021-05-27 00:00:00,0.01,,<2,,5,,8,,11
,2021-06-01 00:00:00,0,,3,,5,,4,,5
,2021-06-03 00:00:00,0,,2,,<2,,8,,<2
,2021-06-10 00:00:00,0,,10,,6,,4,,17
,2021-06-16 00:00:00,0,,2,,23,,15,,33
,2021-06-17 00:00:00,0,,<2,,5,,7,,40
,2021-06-18 00:00:00,Trace,,<2,,10,,4,,2
,2021-06-19 00:00:00,Trace,,10,,<10,,10,,<10
,2021-06-20 00:00:00,0,,<10,,10,,10,,<10
,2021-06-21 00:00:00,0,,<10,,<10,,10,,10
,2021-06-22 00:00:00,0.91,,<10,,<10,,10,,<10
,2021-06-23 00:00:00,0,,146,,10,,161,,63
,2021-06-24 00:00:00,Trace,,<2,,<2,,<2,,3
,2021-06-25 00:00:00,0.09,,60,,79,,10,,6
,2021-06-26 00:00:00,Trace,,<10,,<10,,<10,,10
,2021-06-27 00:00:00,0,,<10,,10,,<10,,<10
,2021-06-28 00:00:00,0,,<10,,10,,<10,,<10
,2021-06-29 00:00:00,Trace,,<10,,<10,,10,,<10
,2021-06-30 00:00:00,0.16,,<10,,10,,20,,20
,2021-07-01 00:00:00,1.28,,4,,7,,6,,5
,2021-07-02 00:00:00,1.67,,>2600,,>2600,,>2600,,2400
,2021-07-03 00:00:00,1.68,,727,,556,,331,,336
,2021-07-04 00:00:00,0.31,,336,,435,,465,,984
,2021-07-05 00:00:00,Trace,,52,,20,,86,,10
,2021-07-06 00:00:00,0.29,,<10,,10,,10,,<10
,2021-07-07 00:00:00,0.03,,20,,98,,41,,<10
,2021-07-08 00:00:00,0.3,,1100,,369,,143,,13
,2021-07-09 00:00:00,2.04,,,,,,,,
,2021-07-10 00:00:00,0.05,,109,,97,,173,,158
,2021-07-11 00:00:00,0.03,,<10,,10,,<10,,<10
,2021-07-12 00:00:00,1.21,,1515,,1359,,4160,,3448
,2021-07-13 00:00:00,0.01,,74,,122,,404,,216
,2021-07-14 00:00:00,Trace,,98,,74,,63,,97
,2021-07-15 00:00:00,0,,16,,19,,14,,10
,2021-07-16 00:00:00,0.02,,2,,<2,,12,,4
,2021-07-17 00:00:00,0.17,,120,,278,,309,,109
,2021-07-18 00:00:00,0.3,,2489,,959,,73,,20
,2021-07-19 00:00:00,Trace,,265,,314,,82,,31
,2021-07-20 00:00:00,0,,20,,20,,20,,20
,2021-07-21 00:00:00,Trace,,63,,74,,30,,20
,2021-07-22 00:00:00,Trace,,22,,32,,7,,19
,2021-07-23 00:00:00,0,,12,,3,,8,,8
,2021-07-24 00:00:00,0,,10,,<10,,<10,,<10
,2021-07-25 00:00:00,0.15,,<10,,<10,,<10,,<10
,2021-07-26 00:00:00,0,,98,,422,,226,,120
,2021-07-27 00:00:00,0.38,,10,,10,,74,,52
,2021-07-28 00:00:00,Trace,,882,,794,,249,,221
,2021-07-29 00:00:00,0.01,,5,,2,,10,,2
,2021-07-30 00:00:00,0.14,,4,,23,,81,,13
,2021-07-31 00:00:00,0,,<10,,<10,,<10,,<10
,2021-08-01 00:00:00,0,,<10,,31,,<10,,<10
,2021-08-02 00:00:00,0,,10,,31,,10,,10
,2021-08-03 00:00:00,0,,<10,,<10,,<10,,10
,2021-08-04 00:00:00,0.58,,10,,52,,10,,20
,2021-08-05 00:00:00,1.42,,>2600,,>2600,,>2600,,>2600
,2021-08-06 00:00:00,0,,57,,90,,52,,68
,2021-08-07 00:00:00,0,,<10,,10,,<10,,<10
,2021-08-08 00:00:00,Trace,,10,,<10,,<10,,10
,2021-08-09 00:00:00,1.15,,52,,187,,121,,74
,2021-08-10 00:00:00,0.03,,341,,146,,134,,51
,2021-08-11 00:00:00,0,,<10,,10,,<10,,<10
,2021-08-12 00:00:00,0,,2,,8,,3,,6
,2021-08-13 00:00:00,0,,7,,8,,10,,13
,2021-08-14 00:00:00,0.01,,<10,,<10,,10,,<10
,2021-08-15 00:00:00,0,,10,,10,,63,,<10
,2021-08-16 00:00:00,0,,10,,20,,<10,,<10
,2021-08-17 00:00:00,0,,10,,20,,<10,,<10
,2021-08-18 00:00:00,Trace,,30,,10,,20,,20
,2021-08-19 00:00:00,1.14,,60,,59,,10,,14
,2021-08-20 00:00:00,0.05,,30,,35,,23,,8
,2021-08-21 00:00:00,0,,20,,<10,,85,,41
,2021-08-22 00:00:00,0.76,,,,,,,,
,2021-08-23 00:00:00,1.69,,,,,,,,
,2021-08-24 00:00:00,Trace,,309,,794,,933,,2143
,2021-08-25 00:00:00,0,,63,,20,,20,,<10
,2021-08-26 00:00:00,0,,68,,103,,60,,52
,2021-08-27 00:00:00,0,,138,,346,,49,,44
,2021-08-28 00:00:00,0.07,,223,,223,,52,,30
,2021-08-29 00:00:00,0.08,,20,,41,,52,,187
