,"M Street Beach, South Boston",,,
,Bacteria Counts,,,
,,,,
,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,
,,,,
,A swimming advisory is declared by the MDC for the following day if counts exceed 104 ,,,
,colonies/100 mL or if the 5-day running geometric mean exceeds 35 colonies/100 mL,,,
,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,
,All results are in colonies/100 mL,,,
, ,,,
,, Rain (in.),,M Street
,,,,
,2002-08-10 00:00:00,0,,<5
,2002-08-11 00:00:00,0,,<5
,2002-08-12 00:00:00,0,,<5
,2002-08-13 00:00:00,0,,<5
,2002-08-14 00:00:00,0,,10
,2002-08-15 00:00:00,0,,<2
,2002-08-16 00:00:00,0.02,,<2
,2002-08-17 00:00:00,0,,<5
,2002-08-18 00:00:00,0,,<5
,2002-08-19 00:00:00,0,,<5
,2002-08-20 00:00:00,0.34,,<5
,2002-08-21 00:00:00,0,,<5
,2002-08-22 00:00:00,0.47,,<2
,2002-08-23 00:00:00,0.02,,6
,2002-08-29 00:00:00,0.84,,10
,2002-08-30 00:00:00,0.05,,14
,2002-08-31 00:00:00,0,,12
,2002-09-05 00:00:00,0,,14
