,"Tenean Beach, Dorchester",,,,,,
,Bacteria Counts,,,,,,
,,,,,,, 
,Spreadsheets are updated by Wednesday of each week.,,,,,,5
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,,5
,,,,,,,5
,A swimming advisory is declared by the MDC for the following day if counts exceed 104 ,,,,,,5
,colonies/100 mL or if the 5-day running geometric mean exceeds 35 colonies/100 mL,,,,,,5
,,,,,,,5
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,5
,All results are in colonies/100 mL,,,,,,5
, ,,,,,,5
,, Rain (in.),,Mid-beach,,,5
,,,,,,,
,,     End of 2002 monitoring season,,,,,
,2002-09-05 00:00:00,0,,Results not available,,,
,2002-08-29 00:00:00,0.84,,30,,,
,,,Daily monitoring ended 8/22/02,,,,
,2002-08-22 00:00:00,0.47,,4,,,
,2002-08-21 00:00:00,0,,<5,,,
,2002-08-20 00:00:00,0.34,,25,,,
,2002-08-19 00:00:00,0,,<5,,,
,2002-08-18 00:00:00,0,,5,,,
,2002-08-17 00:00:00,0,,5,,,
,2002-08-16 00:00:00,0.02,,20,,,
,2002-08-15 00:00:00,0,,6,,,
,2002-08-14 00:00:00,0,,35,,,
,2002-08-13 00:00:00,0,,70,,,
,2002-08-12 00:00:00,0,,5,,,
,2002-08-11 00:00:00,0,,20,,,
,2002-08-10 00:00:00,0,,15,,,
,2002-08-09 00:00:00,0,,12,,,
,2002-08-08 00:00:00,0,,<2,,,
,2002-08-07 00:00:00,0,,5,,,
,2002-08-06 00:00:00,0,,<5,,,
,2002-08-05 00:00:00,0,,5,,,
,2002-08-04 00:00:00,0,,<5,,,
,2002-08-03 00:00:00,0,,5,,,
,2002-08-02 00:00:00,0.11,,12,,,
,2002-08-01 00:00:00,0,,12,,,
,2002-07-31 00:00:00,0,,15,,,
,2002-07-30 00:00:00,0.01,,<5,,,
,2002-07-29 00:00:00,0,,25,,,
,2002-07-28 00:00:00,0.02,,<5,,,
,2002-07-27 00:00:00,0.07,,20,,,
,2002-07-26 00:00:00,0,,54,,,
,2002-07-25 00:00:00,0,,68,,,
,2002-07-24 00:00:00,0.01,,<5,,,
,2002-07-23 00:00:00,0.46,,10,,,
,2002-07-22 00:00:00,0,,<5,,,
,2002-07-21 00:00:00,0,,5,,,
,2002-07-20 00:00:00,0,,75,,,
,2002-07-19 00:00:00,0.2,,1400,,,
,2002-07-18 00:00:00,0,,28,,,
,2002-07-17 00:00:00,0,,25,,,
,2002-07-16 00:00:00,0,,55,,,
,2002-07-15 00:00:00,0.05,,50,,,
,2002-07-14 00:00:00,0,,5,,,
,2002-07-13 00:00:00,0,,5,,,
,2002-07-12 00:00:00,0,,20,,,
,2002-07-11 00:00:00,0,,70,,,
,2002-07-10 00:00:00,0.01,,25,,,
,2002-07-09 00:00:00,0.61,,<5,,,
,2002-07-08 00:00:00,0,,<5,,,
,2002-07-07 00:00:00,0,,5,,,
,2002-07-06 00:00:00,0.01,,<5,,,
,2002-07-05 00:00:00,0,,40,,,
,2002-07-04 00:00:00,0,,Results not available,,,
,2002-07-03 00:00:00,0,,25,,,
,2002-07-02 00:00:00,0,,65,,,
,2002-07-01 00:00:00,0,,<5,,,
,,,Daily monitoing began 7/1,,,,
,2002-06-27 00:00:00,1.32,,48,,,
,2002-06-20 00:00:00,0,,28,,,
