,Constitution Beach Bacteria Counts,,,,,,,
,,,,,,,,
,Spreadsheets are updated weekly.,,,,,,,
,Displayed are Enterococcus counts.  The maximum daily limit is 104 colonies/100 mL,,,,,,,
,,,,,,,,
,A swimming advisory is declared by the DCR for the following day if counts exceed 104 ,,,,,,,
,colonies/100 mL or if the 5-day running geometric mean exceeds 35 colonies/100 mL,,,,,,,
,,,,,,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,,,,,
,All results are in colonies/100 mL and testing is performed by DCR and MWRA.,,,,,,,
,,,,,,,,
,"2006 beach monitoring is conducted daily beginning July 1, and ended September 4.",,,,,,,
,A swimming advisory is posted due to either high Enterococcus counts or rainfall.,,,,,,,
,,,,,,,,
,, Daily Rainfall (in.),,North Site,,Middle Site,,Recreation Ctr.
,,,,,,,,
,2006-05-25 00:00:00,0,,<2,,2,,2
,2006-06-01 00:00:00,0.12,,2,,4,,18
,2006-06-05 00:00:00,     0 (2.6 inches between 6/2 and 6/3),,6,,<2,,12
,2006-06-12 00:00:00,  0 (0.43 inches on  6/10),,114,,20,,186
,2006-06-15 00:00:00,0.1,,46,,70,,48
,2006-06-22 00:00:00,  0 (0.37 inches on  6/20),,423,,523,,500
,2006-06-27 00:00:00,  0 (3 inches between 6/23 and 6/25),,8,,16,,8
,2006-06-29 00:00:00,0,,160,,138,,160
,2006-06-30 00:00:00,0.13,,2,,<2,,<2
,2006-07-01 00:00:00,Trace,,10,,<5,,<5
,2006-07-02 00:00:00,Trace,,<5,,<5,,<5
,2006-07-03 00:00:00,0,,<5,,<5,,<5
,2006-07-04 00:00:00,0,,<5,,5,,<5
,2006-07-05 00:00:00,0,,<5,,<5,,60
,2006-07-06 00:00:00,0.15,,215,,131,,156
,2006-07-07 00:00:00,0,,2,,<2,,<2
,2006-07-08 00:00:00,0,,<5,,10,,<5
,2006-07-09 00:00:00,0,,10,,<5,,<5
,2006-07-10 00:00:00,0,,<5,,5,,<5
,2006-07-11 00:00:00,0.02,,160,,150,,35
,2006-07-12 00:00:00,1.02,,<5,,<5,,<5
,2006-07-13 00:00:00,0.17,,132,,144,,122
,2006-07-14 00:00:00,0,,89,,68,,64
,2006-07-15 00:00:00,0,,5,,5,,10
,2006-07-16 00:00:00,0,,15,,15,,5
,2006-07-17 00:00:00,0,,<5,,10,,<5
,2006-07-18 00:00:00,0.22,,10,,<5,,5
,2006-07-19 00:00:00,0.19,,275,,145,,5
,2006-07-20 00:00:00,Trace,,2,,2,,4
,2006-07-21 00:00:00,1.29,,2,,6,,8
,2006-07-22 00:00:00,0.12,,40,,55,,75
,2006-07-23 00:00:00,0.11,,<5,,5,,15
,2006-07-24 00:00:00,0,,<5,,35,,<5
,2006-07-25 00:00:00,0,,5,,15,,5
,2006-07-26 00:00:00,0,,10,,<5,,<5
,2006-07-27 00:00:00,0,,20,,18,,24
,2006-07-28 00:00:00,0.29,,54,,17,,12
,2006-07-29 00:00:00,0,,5,,10,,5
,2006-07-30 00:00:00,0,,<5,,5,,5
,2006-07-31 00:00:00,0,,10,,<5,,<5
,2006-08-01 00:00:00,0.02,,<5,,5,,<5
,2006-08-02 00:00:00,0,,<5,,<5,,<5
,2006-08-03 00:00:00,0,,<2,,4,,4
,2006-08-04 00:00:00,0.31,,5,,4,,4
,2006-08-05 00:00:00,0,,<5,,<5,,<5
,2006-08-06 00:00:00,0,,<5,,<5,,<5
,2006-08-07 00:00:00,0.04,,<5,,5,,20
,2006-08-08 00:00:00,0,,10,,<5,,<5
,2006-08-09 00:00:00,0,,5,,20,,5
,2006-08-10 00:00:00,Trace,,6,,5,,4
,2006-08-11 00:00:00,0,,4,,6,,5
,2006-08-12 00:00:00,0,,<5,,5,,5
,2006-08-13 00:00:00,0,,<5,,<5,,<5
,2006-08-14 00:00:00,0,,15,,20,,25
,2006-08-15 00:00:00,0.53,,15,,20,,15
,2006-08-16 00:00:00,0,,<10,,<10,,<10
,2006-08-17 00:00:00,0,,2,,<2,,<2
,2006-08-18 00:00:00,0,,30,,36,,33
,2006-08-19 00:00:00,Trace,,<5,,<5,,<5
,2006-08-20 00:00:00,0.8,,50,,115,,50
,2006-08-21 00:00:00,0,,<5,,5,,<5
,2006-08-22 00:00:00,0,,<5,,<5,,<5
,2006-08-23 00:00:00,0,,<5,,<5,,<5
,2006-08-24 00:00:00,0.01,,2,,<2,,2
,2006-08-25 00:00:00,0.84,,450,,420,,340
,2006-08-26 00:00:00,0,,<10,,<10,,<10
,2006-08-27 00:00:00,0.4,,<5,,<5,,<5
,2006-08-28 00:00:00,0.11,,<5,,<5,,<5
,2006-08-29 00:00:00,0.14,,10,,20,,<10
,2006-08-30 00:00:00,0,,<5,,<5,,<5
,2006-08-31 00:00:00,0,,2,,7,,8
,2006-09-01 00:00:00,0,,4,,5,,4
,2006-09-02 00:00:00,Trace,,15,,40,,25
,2006-09-03 00:00:00,0.25,,30,,450,,10
,2006-09-04 00:00:00,0,,5,,25,,10
