,"Tenean Beach, Dorchester: Bacterial Water Quality 2015",,,
,,,,
,Bacteria monitoring is conducted by the Massachusetts Dept. of Conservation and Recreation (DCR) during the swimming season.,,,
,"Bacteria samples are collected at one location along the beach, and test results are available 24 hours later.",,,
,High bacteria triggers a swimming advisory and repeated sampling until bacteria meet limits.,,,
,,,,
,"Displayed are Enterococcus bacteria counts, with high counts in red.  The maximum daily limit is 104 counts/100 mL.",,,
,,,,
,A swimming advisory is declared by the DCR for the following day if: ,,,
,      ▪  Enterococcus counts exceed 104 counts/100 mL limit;,,,
,      ▪  OR if daily rainfall exceeds 0.25 inches;,,,
,      ▪  OR if the 5-day running geometric mean exceeds 35 counts/100 mL (geometric mean of the previous 5 days' samples).,,,
,"Daily rainfall totals from Logan Airport, National Weather Service raingauge",,,
,All results are in counts/100 mL and testing is performed by DCR.,,,
,,,,
,Swimming advisories will be issued due to either high Enterococcus counts or heavy rainfall.,,,
,"Weekly sampling by DCR began May 21, 2015. Daily sampling began June 14, 2015 and ended September 6, 2015.",,,
,,,,
,, Daily Rainfall (in.),,Mid-beach
,,,,
,2015-05-21 00:00:00,0,,19
,2015-05-28 00:00:00,Trace,,2
,2015-06-04 00:00:00,0,,238
,2015-06-05 00:00:00,Trace,,33
,2015-06-11 00:00:00,0,,2
,2015-06-12 00:00:00,0,,12
,2015-06-13 00:00:00,Trace,,20
,2015-06-14 00:00:00,0,,10
,2015-06-15 00:00:00,0.4,,74
,2015-06-16 00:00:00,Trace,,63
,2015-06-17 00:00:00,0,,5
,2015-06-18 00:00:00,0,,2
,2015-06-19 00:00:00,0,,93
,2015-06-20 00:00:00,0.04,,<10
,2015-06-21 00:00:00,1.72,,199
,2015-06-22 00:00:00,0,,432
,2015-06-23 00:00:00,0.01,,<10
,2015-06-24 00:00:00,0,,31
,2015-06-25 00:00:00,0,,16
,2015-06-26 00:00:00,Trace,,34
,2015-06-27 00:00:00,0.2,,10
,2015-06-28 00:00:00,1.43,,201
,2015-06-29 00:00:00,0,,712
,2015-06-30 00:00:00,0,,262
,2015-07-01 00:00:00,0.54,,52
,2015-07-02 00:00:00,0,,200
,2015-07-03 00:00:00,0,,8
,2015-07-05 00:00:00,0,,6
,2015-07-06 00:00:00,0,,20
,2015-07-07 00:00:00,0.02,,175
,2015-07-08 00:00:00,Trace,,30
,2015-07-09 00:00:00,0.15,,65
,2015-07-10 00:00:00,0.12,,485
,2015-07-11 00:00:00,0,,31
,2015-07-12 00:00:00,0,,109
,2015-07-13 00:00:00,0,,85
,2015-07-14 00:00:00,0.03,,305
,2015-07-15 00:00:00,Trace,,146
,2015-07-16 00:00:00,0,,65
,2015-07-17 00:00:00,Trace,,20
,2015-07-18 00:00:00,0.14,,52
,2015-07-19 00:00:00,Trace,,84
,2015-07-20 00:00:00,Trace,,<10
,2015-07-21 00:00:00,Trace,,121
,2015-07-22 00:00:00,0,,52
,2015-07-23 00:00:00,0,,148
,2015-07-24 00:00:00,0.01,,2
,2015-07-25 00:00:00,0,,74
,2015-07-26 00:00:00,Trace,,10
,2015-07-27 00:00:00,0.06,,20
,2015-07-28 00:00:00,0,,41
,2015-07-29 00:00:00,0,,121
,2015-07-30 00:00:00,0.02,,33
,2015-07-31 00:00:00,0,,20
,2015-08-01 00:00:00,Trace,,14
,2015-08-02 00:00:00,0,,22
,2015-08-03 00:00:00,0,,13
,2015-08-04 00:00:00,0.49,,185
,2015-08-05 00:00:00,0,,663
,2015-08-06 00:00:00,0,,108
,2015-08-07 00:00:00,0,,90
,2015-08-08 00:00:00,0,,30
,2015-08-09 00:00:00,0,,10
,2015-08-10 00:00:00,0,,41
,2015-08-11 00:00:00,0.83,,20
,2015-08-12 00:00:00,0,,272
,2015-08-13 00:00:00,0,,90
,2015-08-14 00:00:00,0,,2
,2015-08-15 00:00:00,0.08,,135
,2015-08-16 00:00:00,0,,413
,2015-08-17 00:00:00,0,,278
,2015-08-18 00:00:00,0.14,,41
,2015-08-19 00:00:00,0,,20
,2015-08-20 00:00:00,0,,41
,2015-08-21 00:00:00,0.63,,56
,2015-08-22 00:00:00,Trace,,146
,2015-08-23 00:00:00,0.02,,110
,2015-08-24 00:00:00,Trace,,262
,2015-08-25 00:00:00,0,,20
,2015-08-26 00:00:00,Trace,,74
,2015-08-27 00:00:00,0,,60
,2015-08-28 00:00:00,0,,14
,2015-08-29 00:00:00,0,,52
,2015-08-30 00:00:00,0,,109
,2015-08-31 00:00:00,0,,<2
,2015-09-01 00:00:00,0,,20
,2015-09-02 00:00:00,0,,4
,2015-09-03 00:00:00,0.01,,25
,2015-09-04 00:00:00,Trace,,54
,2015-09-05 00:00:00,0,,41
,2015-09-06 00:00:00,0,,31
